No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2011,1,1,0,NA,-21,-9,1033,NW,570.41,0,0
2,2011,1,1,1,NA,-21,-10,1033,NW,573.54,0,0
3,2011,1,1,2,NA,-21,-11,1033,NW,577.56,0,0
4,2011,1,1,3,NA,-21,-10,1034,NW,581.58,0,0
5,2011,1,1,4,NA,-21,-12,1034,NW,585.6,0,0
6,2011,1,1,5,NA,-20,-11,1034,NE,1.79,0,0
7,2011,1,1,6,NA,-20,-12,1034,NW,3.13,0,0
8,2011,1,1,7,NA,-20,-12,1035,NW,6.26,0,0
9,2011,1,1,8,NA,-20,-8,1036,NW,11.18,0,0
10,2011,1,1,9,NA,-19,-7,1037,NW,16.1,0,0
11,2011,1,1,10,NA,-19,-6,1037,NW,21.91,0,0
12,2011,1,1,11,NA,-18,-4,1036,NW,26.83,0,0
13,2011,1,1,12,NA,-18,-3,1035,NW,30.85,0,0
14,2011,1,1,13,NA,-18,-2,1035,NW,34.87,0,0
15,2011,1,1,14,NA,-18,-1,1034,NW,39.79,0,0
16,2011,1,1,15,NA,-18,-1,1034,NW,43.81,0,0
17,2011,1,1,16,NA,-18,-1,1034,NW,46.94,0,0
18,2011,1,1,17,NA,-19,-5,1034,NW,48.73,0,0
19,2011,1,1,18,NA,-18,-3,1034,NW,51.86,0,0
20,2011,1,1,19,NA,-19,-5,1035,NW,54.99,0,0
21,2011,1,1,20,NA,-19,-7,1035,NW,58.12,0,0
22,2011,1,1,21,NA,-18,-5,1035,NW,62.14,0,0
23,2011,1,1,22,NA,-18,-9,1036,NW,66.16,0,0
24,2011,1,1,23,NA,-17,-7,1037,NW,71.08,0,0
25,2011,1,2,0,36,-17,-7,1037,NW,75.1,0,0
26,2011,1,2,1,31,-17,-7,1037,NE,4.02,0,0
27,2011,1,2,2,20,-17,-7,1037,NE,8.94,0,0
28,2011,1,2,3,19,-18,-8,1037,NW,4.02,0,0
29,2011,1,2,4,18,-18,-8,1037,NE,4.02,0,0
30,2011,1,2,5,17,-18,-7,1037,NE,8.04,0,0
31,2011,1,2,6,14,-18,-8,1036,NW,4.92,0,0
32,2011,1,2,7,14,-18,-8,1037,NE,4.02,0,0
33,2011,1,2,8,22,-18,-7,1037,NE,8.94,0,0
34,2011,1,2,9,22,-18,-6,1038,NE,12.96,0,0
35,2011,1,2,10,25,-18,-4,1038,NE,16.98,0,0
36,2011,1,2,11,24,-17,-3,1037,NE,21,0,0
37,2011,1,2,12,31,-17,-3,1036,NE,24.13,0,0
38,2011,1,2,13,37,-17,-1,1035,cv,1.79,0,0
39,2011,1,2,14,35,-17,-1,1034,cv,2.68,0,0
40,2011,1,2,15,32,-17,-1,1033,cv,3.57,0,0
41,2011,1,2,16,37,-17,-1,1033,cv,4.46,0,0
42,2011,1,2,17,40,-17,-2,1033,cv,5.35,0,0
43,2011,1,2,18,52,-17,-3,1033,SE,1.79,0,0
44,2011,1,2,19,63,-16,-5,1033,cv,0.89,0,0
45,2011,1,2,20,72,-15,-5,1033,SE,0.89,0,0
46,2011,1,2,21,76,-15,-5,1033,cv,0.89,0,0
47,2011,1,2,22,76,-15,-6,1033,cv,1.78,0,0
48,2011,1,2,23,67,-15,-6,1034,cv,2.67,0,0
49,2011,1,3,0,65,-15,-7,1033,NE,0.89,0,0
50,2011,1,3,1,78,-15,-6,1033,NE,1.78,0,0
51,2011,1,3,2,85,-15,-7,1033,NE,2.67,0,0
52,2011,1,3,3,143,-15,-8,1032,NE,3.56,0,0
53,2011,1,3,4,181,-15,-8,1032,SE,0.89,0,0
54,2011,1,3,5,188,-15,-8,1032,cv,0.89,0,0
55,2011,1,3,6,167,-15,-9,1032,NE,0.89,0,0
56,2011,1,3,7,173,-15,-9,1032,NW,0.89,0,0
57,2011,1,3,8,155,-15,-9,1032,NW,2.68,0,0
58,2011,1,3,9,124,-13,-8,1033,NE,0.89,0,0
59,2011,1,3,10,105,-14,-6,1033,cv,0.89,0,0
60,2011,1,3,11,87,-13,-4,1032,SE,0.89,0,0
61,2011,1,3,12,93,-13,-3,1031,cv,0.89,0,0
62,2011,1,3,13,134,-13,-2,1030,cv,1.78,0,0
63,2011,1,3,14,164,-15,-1,1029,cv,2.67,0,0
64,2011,1,3,15,180,-15,-1,1029,SE,1.79,0,0
65,2011,1,3,16,184,-15,-2,1029,cv,0.89,0,0
66,2011,1,3,17,175,-15,-3,1029,cv,1.34,0,0
67,2011,1,3,18,188,-14,-5,1029,NE,0.89,0,0
68,2011,1,3,19,255,-14,-5,1030,NE,1.78,0,0
69,2011,1,3,20,286,-14,-8,1029,NE,2.67,0,0
70,2011,1,3,21,225,-15,-8,1029,cv,0.45,0,0
71,2011,1,3,22,234,-15,-9,1029,cv,1.34,0,0
72,2011,1,3,23,226,-15,-9,1029,NW,1.79,0,0
73,2011,1,4,0,233,-15,-10,1029,NW,2.68,0,0
74,2011,1,4,1,275,-15,-10,1028,cv,0.45,0,0
75,2011,1,4,2,153,-16,-11,1028,NW,3.13,0,0
76,2011,1,4,3,121,-15,-9,1028,NW,4.92,0,0
77,2011,1,4,4,77,-15,-11,1028,NW,5.81,0,0
