No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
,2012,5,26,3,102,-26,2,1010,NW,34.66112907,0,1
,2021,11,11,20,270,18,5,1006,SE,29.45726604,4,2
,2019,11,2,20,106,-3,5,1013,NE,15.28459728,5,3
,2019,9,7,11,71,-23,-6,1020,SE,6.610622826,9,0
,2018,9,17,12,188,-16,14,995,NE,15.86878189,6,8
,2010,11,24,17,20,21,27,1024,SW,19.06156558,9,8
,2015,10,30,12,102,-27,27,1026,NW,19.03267216,9,3
,2012,12,5,19,121,3,39,1002,NE,17.86297669,6,0
,2018,4,6,22,214,-26,27,1014,SW,2.436125311,2,0
,2011,9,22,17,87,2,28,1021,SW,23.2016554,6,5
,2021,11,17,4,99,26,37,990,SW,41.81040486,0,1
,2020,12,23,15,151,-26,30,1024,SE,9.018314593,3,0
,2016,2,15,20,130,7,15,1008,SE,7.282867171,6,9
,2018,3,3,20,149,3,2,1001,NE,23.59255276,6,1
,2012,1,18,22,257,27,33,1029,NE,18.53015061,3,6
,2012,11,15,9,293,-5,15,1029,SE,28.06403204,0,3
,2012,7,23,13,191,-30,-10,1009,NE,47.35371548,7,6
,2010,10,26,22,276,-27,-3,1022,NE,38.04431252,3,6
,2022,11,25,14,160,8,-7,1018,NW,34.35290766,1,3
,2018,9,4,10,21,23,10,1005,NE,20.79684722,3,1
,2018,3,23,7,252,-5,11,1003,SW,14.36799182,7,8
,2015,8,21,16,235,2,26,996,NW,27.01320516,7,9
,2018,1,10,2,48,2,38,995,NE,44.27217638,4,9
,2018,6,26,0,58,-23,-8,1010,NW,43.83712553,1,2
,2010,6,11,6,169,-11,8,1025,SW,22.27574744,6,0
,2012,5,23,20,187,-15,-10,1011,NE,12.31101766,2,7
,2012,4,1,1,270,-10,18,1029,NW,11.26722251,5,3
,2010,3,27,9,189,14,12,1008,NE,1.699420838,8,8
,2015,4,29,17,174,24,22,1014,NW,42.13321231,4,7
,2013,7,10,6,50,25,30,992,NW,13.24190169,8,6
,2017,7,25,4,54,-5,12,1025,SW,17.94995705,3,8
,2015,3,22,3,243,-8,-6,1023,SW,40.46080705,8,1
,2013,11,15,13,130,-13,-4,1000,NE,6.001202589,0,3
,2014,10,8,23,134,0,-5,1016,SE,23.06170394,3,4
,2021,3,9,2,20,21,38,991,NE,6.117068996,0,4
,2011,3,1,12,166,11,11,995,NW,22.09242848,8,0
,2019,5,21,2,273,-19,38,991,SW,2.356978681,7,8
,2021,1,12,7,88,-30,2,1006,SW,25.8811413,7,8
,2010,10,16,17,13,11,1,1029,NW,39.78548595,6,4
,2021,11,7,18,241,-22,-7,1003,SE,33.81483374,8,9
,2016,7,12,3,264,-28,-3,999,SW,25.45845048,2,2
,2019,8,12,9,52,29,26,1022,SE,41.43793561,6,7
,2021,7,11,2,91,20,20,1001,SW,11.38939875,5,6
,2012,8,16,11,263,-5,26,1021,NW,41.53981425,4,4
,2022,9,8,23,34,-22,34,1013,NE,13.81817398,8,0
,2012,4,19,5,205,11,15,1003,NE,18.12431706,3,6
,2015,3,8,18,80,20,32,994,SE,6.421510083,2,0
,2012,7,5,22,49,-15,-3,994,NE,5.087737818,2,0
,2016,12,17,3,1,-7,29,1021,NW,46.60557594,1,8
,2016,9,16,2,53,19,22,1022,NE,9.498912359,0,5
,2014,12,4,17,105,-17,34,993,SE,16.66480775,2,6
,2010,9,18,7,259,-28,18,1019,NW,26.45758495,7,1
,2022,12,12,23,190,3,-6,1006,NW,17.39335663,5,7
,2018,8,21,1,217,2,17,992,SW,43.50666417,1,6
,2011,3,4,6,43,19,29,1002,SW,45.03573817,7,4
,2013,6,18,10,161,-7,6,1025,NE,16.29952287,4,7
,2019,2,7,5,201,-22,12,1007,SE,4.601384808,3,1
,2019,6,2,18,269,-18,34,1012,NW,10.5079117,0,5
,2011,5,2,2,270,-29,-2,1024,NE,23.71964604,0,3
,2021,4,13,12,214,-24,-9,1022,NE,14.42405211,3,6
,2010,3,4,19,251,17,21,1025,SW,22.67361188,8,5
,2022,8,5,23,189,-10,38,1006,NE,37.93517499,9,5
,2010,10,30,1,295,-12,20,1028,NE,21.03192169,9,4
,2010,6,26,4,212,-6,-4,1023,SW,9.84987281,5,4
,2016,9,12,14,207,16,19,1001,NE,17.89838203,0,1
,2020,3,11,9,236,-9,-8,994,NE,37.14906091,7,6
,2021,5,29,5,52,-20,-2,1029,NW,21.20310601,8,6
,2018,4,3,13,279,2,-1,1016,NE,12.47689265,1,7
,2010,6,30,20,216,1,35,1029,SW,21.37058196,5,3
,2019,2,11,0,251,-10,39,1002,SW,22.74033438,6,8
,2015,6,9,8,187,8,36,1015,NW,14.81886024,0,9
,2020,3,26,9,40,-11,15,1003,SW,49.78425446,4,2
,2014,8,22,21,156,-23,-10,1021,SW,38.38130094,4,2
,2012,10,27,20,14,11,19,1000,SW,34.62274935,2,1
,2011,10,8,10,64,6,27,1027,NE,42.74334923,1,9
,2011,11,21,21,8,-22,4,1005,NW,33.32095979,0,6
,2011,6,8,18,128,-6,14,1011,SE,39.54901715,5,9
,2016,12,10,8,135,-6,-5,1005,NW,20.62628223,6,1
,2013,8,6,11,62,2,7,1002,NW,25.0185885,1,6
,2016,7,23,19,138,-29,-10,1001,NW,2.349819165,1,2
,2019,6,18,5,80,-12,-8,1007,SE,14.03231957,4,0
,2010,9,6,15,162,15,6,1018,SE,18.40062046,4,7
,2021,11,21,12,288,-11,37,1007,SW,31.27351127,2,7
,2019,9,12,5,260,11,-3,991,NE,23.21056424,2,9
,2013,10,16,12,230,10,38,991,SW,30.39191312,0,0
,2018,10,24,14,40,11,29,992,SW,35.66636673,2,5
,2016,4,21,17,27,-2,6,1018,SE,2.135933383,8,3
,2019,8,16,15,134,-25,14,997,SW,12.91388735,1,4
,2015,3,23,8,200,-14,30,1000,SW,8.545193627,0,7
,2016,11,4,17,267,29,1,1001,SE,9.372755959,8,7
,2011,5,18,9,32,-6,18,1021,NW,25.15626978,4,6
,2010,12,29,11,47,7,14,993,NW,36.99893882,7,4
,2019,3,27,4,61,-27,25,998,SE,13.6388517,3,5
,2018,10,13,1,215,-1,14,1013,NE,41.22246191,7,7
,2011,4,3,8,292,-11,18,1005,SW,44.62282586,4,4
,2011,5,27,17,98,-28,0,1006,NW,17.5266936,5,2
,2012,8,26,23,171,-8,-7,1011,SE,34.06782695,5,8
,2021,10,12,0,213,20,3,996,NE,5.852464704,5,8
,2022,8,20,13,34,-13,35,999,SW,37.20141427,1,9
,2012,3,19,2,226,-5,27,1018,SE,8.251193774,9,0
,2012,8,23,22,100,25,6,1025,SE,34.37079019,9,6
,2013,10,28,10,130,5,-9,1013,SE,21.09500017,8,3
,2020,4,5,21,256,-23,-3,1003,SW,46.42281608,6,5
,2010,11,19,17,4,-14,25,1003,NW,23.22302909,2,6
,2020,2,19,1,217,0,-1,1014,SW,1.545140873,1,7
,2022,3,25,21,254,6,-4,1011,SW,24.03345181,3,4
,2010,8,29,16,282,14,25,1012,NW,39.77493719,7,4
,2021,12,12,2,206,26,5,1021,SE,32.35421654,8,5
,2021,5,28,20,14,2,3,1015,NE,48.31575983,9,6
,2013,2,25,6,41,-4,5,1016,NE,42.1636245,1,4
,2010,7,5,2,178,14,14,1001,NW,26.32758314,5,4
,2021,5,2,14,62,-27,30,1008,NW,10.32602828,7,3
,2013,6,26,3,230,-9,-7,1008,SE,0.188731491,2,0
,2022,2,16,14,240,-5,18,1023,NE,49.02511985,8,6
,2011,11,31,2,51,1,-5,1021,NE,46.91598492,3,6
,2016,7,21,10,95,-7,-10,1018,SE,13.7071997,4,5
,2015,1,4,2,221,15,28,1010,NW,31.91078931,6,9
,2011,10,22,19,230,4,-10,1024,NW,36.46197814,4,1
,2011,10,15,17,236,6,29,994,SE,28.90067305,3,1
,2021,5,10,13,142,1,-8,1001,NW,42.14808374,3,5
